list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
hulango,,depresi prenatal,,,depresi,,,,noun,yes,,,,Psikologi,depresi yang terjadi di masa kehamilan,,,,,,,,Analitical,
hunta,,depresi tersenyum,,,depresi,,,,noun,yes,,,,Psikologi,"keadaan seseorang mengalami depresi, tetapi tampak puas atau bahagia dengan hidupnya",,,,,,,,Analitical,
huwil,,devolusi,yes,2,,,,,noun,,,,,Psikologi,"proses ketika sekelompok orang mulai kehilangan kendali, terlalu terbawa situasi yang sedang terjadi, atau tidak mampu menahan diri untuk tidak melakukan tindakan yang dipicu oleh trauma dari penyerangan yang mereka alami",,,,,,,,Analitical,
ibu susu,,dewi padi,,,dewi,,,,noun,yes,,,,,Dewi Sri,,,,,,,,Synonym,
ibu susuan,,dewi sri,,,dewi,,,,noun,yes,,,,,tokoh legenda dalam masyarakat Indonesia yang sering dikaitkan dengan mitologi asal-usul padi; Dewi Padi,,,,,,,,Analitical,Synonym
ikal mursal,,diametris,,,,,,,adjective,,,,,,diametral,,,,,,,,Synonym,
ikan jenggi,,diametris,,,,,,,adjective,,,,,,berlawanan penuh,,,,,,,,Analitical,
ikhtilat,,diastropisme,,,,/diastropismê/,,,noun,,,,,,"proses deformasi pada fitur utama kerak bumi, termasuk benua, gunung, dasar laut, lipatan, dan patahan",,,,,,,,Analitical,
iklan dagang,,diberkas,,,berkas,,,,verb,,,,,,diikat menjadi satu,,,,,,bagai tanduk diberkas,,Analitical,
IKN,,diet rendah garam,,,diet,,,,noun,yes,,,,Ilmu Gizi,diet penurunan berat badan dengan menghindari asupan garam,,,,,,,,Analitical,
ikur-ikur,,digul,yes,3,,,,,noun,,,,,,tempat untuk minum yang terbuat dari batok kelapa yang dikeringkan,,,,,,,,Analitical,
incipu,,dikdas,,,,,,,noun,,acronym,,,,pendidikan dasar,,,,,,,,Abbreviation Expansion,
indeks prestasi kumulatif,,dikmen,,,,/dikmên/,,,noun,,acronym,,,,pendidikan menengah,,,,,,,,Abbreviation Expansion,
industri pionir,,dimensi satu,,,dimensi,,,,noun,yes,,,,Matematika,dimensi yang hanya memiliki satu unsur dimensi,,,,,,,,Analitical,
infal,,dinoyo,,,,,,,noun,,,,,,"prasasti peninggalan kerajaan Kanjuruhan, dibuat pada masa pemerintahan Gajayana tahun 682 Saka, berisi tentang silsilah kerajaan dan pembuatan arca Agastya, ditulis dengan huruf Jawa Kuno dalam bahasa Sanskerta; Kanjuruhan",,,,,,,,Analitical,Synonym
infinit,,disdukcapil,,,,,,,noun,,acronym,,,,dinas kependudukan dan pencatatan sipil,,,,,,,,Abbreviation Expansion,
ingatan palsu kolektif,,disfemisme,,,,/disfemismê/,,,noun,,,,,,gaya bahasa yang memilih penggunaan kata kasar untuk tujuan tertentu,,,,,,,,Analitical,
insolvensi,,dislipidemia,,,,,,,noun,,,,,Kedokteran dan Fisiologi,konsentrasi abnormal lipid atau lipoprotein dalam darah,,,,,,,,Analitical,
inspektur tambang,,docang,,,,,,,noun,,,,,,"makanan khas Cirebon yang terdiri atas tauge, lontong, daun singkong, kelapa parut, kerupuk, dan kuah oncom",,,,,,,,Analitical,
interpretivisme,,dodal,,,,,,,noun,,,,Batak,,sidik jari; cap jempol,,,,,,,,Synonym,
IP,,dojang,,,,,,,noun,,,,Korea:,Olahraga,"tempat latihan seni bela diri Korea, seperti taekwondo, hapkido, dan kumdo",,,,,,,,Analitical,
IPK,,doksing,,,,,,,noun,,,yes,,,"kegiatan mencari, membongkar, dan memublikasikan informasi pribadi seseorang di internet tanpa izin yang bersangkutan, biasanya dilakukan untuk tujuan yang tidak baik, seperti balas dendam atau memberi hukuman",,keluarganya juga sempat terkena --,,,,,,Analitical,
iredentisme,,dokudrama,,,,,,,noun,,acronym,,,,"drama televisi, film, atau teater yang dibuat berdasarkan interpretasi dari kejadian nyata; dari documentary drama",,,,,,,,Analitical,Other
jakang,,dokuseri,,,,,,,noun,,acronym,,,,tayangan atau film dokumenter yang ditayangkan sebagai program serial; dari documentary series,,,,,,,,Analitical,Other
jalo,,dolar,yes,2,,,,,noun,,,,,,"tanaman hias dengan ciri khas daunnya berwarna hijau tua, tumbuh sejajar, berukuran kecil, simetris, dan mengilap, serta pangkal batangnya tampak seperti membengkak",〔Zamioculcas zamiifolia〕,,,,,,,Analitical,
jalur rempah,,dompo,,,,,,,noun,,,,Sunda,,ibu yang memiliki dua anak dan keduanya perempuan,,,,,,,,Analitical,
jambalaya,,dubas,,,,,,,noun,,acronym,,,,duta bahasa,,,,,,,,Abbreviation Expansion,
jangko,,dudup,,,,,,,noun,,,,Madura,,bunga turi,,,,,,,,Synonym,
jaramba,,dukwa,,,,,,,noun,,,,,,senjata yang terbuat dari tulang kasuari bagian paha,,,,,,,,Analitical,
jasmerah,,dusa,,,,,,,noun,,,,Benuaq,,denda adat karena berselingkuh,,,,,,,,Analitical,
jatanras,,dzongkha,,,,,,,noun,,,,,,bahasa yang dituturkan di Bhutan,,,,,,,,Analitical,
jataruparajata patiggahana veramani sikhapadam samadiyami,,efek mandela,,,efek (1),,,,noun,yes,,,,,"efek yang terjadi pada sekelompok orang karena salah mengingat sesuatu, tetapi meyakini sesuatu itu benar-benar terjadi; ingatan palsu kolektif",,,,,,,,Analitical,
jawab-jinawab,,efek senjata,,,efek (1),,,,noun,yes,,,,Psikologi,temuan bahwa keberadaan senjata atau bahkan gambar senjata dapat membuat orang berperilaku lebih agresif,,,,,,,,Analitical,
jebul,,efek tiru,,,efek (1),,,,noun,yes,,,,Psikologi,kecenderungan untuk meniru perilaku atau aktivitas yang ditampilkan atau diberitakan secara sensasional oleh media massa,,,,,,,,Analitical,
jenong,,egosentrik,,,,,,,adjective,,,,,,menjadikan diri sendiri sebagai titik pusat pemikiran (perbuatan); berpusat pada diri sendiri (menilai segalanya dari sudut diri sendiri); egosentris,,,,,,,,Analitical,Synonym
jepa,,egrang batok,,,egrang,,,,noun,yes,,,,,"egrang yang menggunakan tempurung kelapa atau batok yang dibagi dua sbgi pijakan, tiap bagian tempurung diberi tali panjang hingga dapat dipegang untuk mengangkat pijakan",,,,,,,,Analitical,
Jetha,,ekaraga,,,,,,,noun,,,,,,sanggama; setubuh; koitus,,,,,,,,Synonym,
jibrut,,ekg,,,,,,,noun,,abbreviation,,,,elektrokardiogram,,,,,,,,Abbreviation Expansion,
JJS,,ekomania,,,,,,,noun,,,,,Psikologi,"sikap patologis pada keluarga sendiri, ditandai dengan perilaku mendominasi, dapat memicu kekerasan dalam keluarga",,,,,,,,Analitical,
joenan,,ekomorfologi,,,,,,,noun,yes,,,,,ilmu tentang hubungan antara morfologi organisme dan lingkungannya,,,,,,,,Analitical,
jong,,ekonomi bahasa,,,ekonomi,,,,noun,yes,,,,,"kehematan dalam penggunaan unsur-unsur
kebahasaan",,,,,,,,Analitical,
jotos runjam,,ekonomi digital,,,ekonomi,,,,noun,yes,,,,,kegiatan perekonomian yang berjalan secara digital berbantuan internet dan kecerdasan buatan,,,,,,,,Analitical,
juara harapan,,ekowisatawan,,,,,,,noun,,,,,Perhotelan,wisatawan yang berlibur untuk memahami budaya dan lingkungan di daerah tertentu,,,,,,,,Analitical,
julien,,eksokanibalisme,,,,/eksokanibalismê/,,,noun,,,,,Psikologi,"perilaku kanibalisme atau mengonsumsi
manusia lain di luar kelompoknya",,,,,,,,Analitical,
Jumat Agung,,eksokrin,,,,,,,adjective,,,,,Kedokteran dan Fisiologi,bersekresi ke luar tubuh; berkenaan dengan sekresi melalui duktus,,,,,,,,Analitical,
jurnal kas,,ekstemporan,,,,,,,adverb,,,,,,tanpa persiapan; impromptu,,,,,,,,Analitical,Synonym
juru bahasa isyarat,,ekstemporan,,,,,,,noun,,,,,,teknik atau metode berpidato dengan mencatat hal-hal penting yang akan disampaikan,,,,,,,,Analitical,
juru langsir,,eksternalitas,,,,/ekstêrnalitas/,,,noun,,,,,,biaya atau manfaat yang dihasilkan dari pelaku ekonomi yang memengaruhi kesejahteraan orang lain,,,,,,,,Analitical,
jutek,,elevasi jalan,,,elevasi,,,,noun,yes,,,,,elevasi yang umumnya diukur dari lapisan paling atas titik bahu dalam atau pada as jalan terhadap referensi ketinggian,,,,,,,,Analitical,
kabur-kaburan,,elevasi surut,,,elevasi,,,,noun,yes,,,,,"elevasi yang terbentuk secara alami, berada di atas permukaan laut ketika air surut dan berada di bawah permukaan laut ketika air pasang",,,,,,,,Analitical,
kabus,,emosi palsu,,,emosi,,,,noun,yes,,,,Psikologi,"emosi yang tidak dialami sendiri, tetapi ditiru, biasa ditemukan pada psikopat",,,,,,,,Analitical,
kacingcalang,,empala,,,,,,,noun,,,,,,"iikan air tawar yang panjangnya dapat mencapai 5,5 cm, tubuhnya pipih memanjang dan siripnya merumbai, badannya berwarna abu kecokelatan, sementara sirip, insang, dan mulut bawahnya berwarna biru kehijauan, banyak dimanfaatkan sebagai ikan hias, berasal dari perairan Kalimantan, saat ini tersebar di banyak negara",〔Betta taeniata〕,,,,,,,Analitical,
kadalan kembang,,empat kebenaran mulia,,,empat,,,,noun,yes,,,,Agama Buddha,"ajaran Buddha mengenai empat kebenaran, yaitu kebenaran adanya duka, penyebab duka, lenyapnya duka, dan jalan menuju akhir duka",,,,,,,,Analitical,
kadu,,endek,,,,/êndêk/,,,noun,,,,,,kain tenun khas Bali,,,,,,,,Analitical,
kaduaya,,endonim,,,,,,,noun,,,,,,"nama untuk sesuatu, khususnya tempat, sekelompok orang, atau bahasa, yang digunakan secara internal di tempat itu, atau oleh orang atau komunitas bahasa itu sendiri",,,,,,,,Analitical,
kafamatai,,entik,,,,/êntik/,,,noun,,,,Sunda,,penakar beras yang terbuat dari tempurung kelapa,,,,,,,,Analitical,
kahohon,,entimen,,,,,,,noun,,,,,,silogisme yang diperpendek dengan tidak menyebutkan lagi premis umum,,Andi sehat karena rajin olah raga merupakan contoh --,,,,,,Analitical,
Kahuripan,,fabrigami,,,,,,,noun,,,,,,origami dengan menggunakan bahan dari kain,,,,,,,,Analitical,
kain baki,,feb,,,,,,,noun,,abbreviation,,,,Fakultas Ekonomi dan Bisnis,,,,,,,,Abbreviation Expansion,
kain pelayan,,femur,,,,,,,noun,yes,,,,,"tulang kaki yang terkuat dan terbesar, terletak di antara panggul dan lutut manusia",,,,,,,,Analitical,
kaji ulang,,ferule,,,,,,,noun,,,,,,metal yang menjepit penghapus pada pensil,,,,,,,,Analitical,
KAK,,fhi,,,,,,,noun,,abbreviation,,,,Federasi Hockey Indonesia,,,,,,,,Abbreviation Expansion,
kaku mayat,,fik,,,,,,,noun,,abbreviation,,,,Fakultas Ilmu Kesehatan,,,,,,,,Abbreviation Expansion,
kalaarum,,filet delais,,,filet,,,,noun,yes,,,,Tata Boga,"filet utuh panjang, kemudian dilipat atau disimpul",,,,,,,,Analitical,
kalangan,,filet mignon,,,filet,,,,noun,yes,,,,Tata Boga,potongan daging sapi yang lembut dari bagian ujung tenderloin,,,,,,,,Analitical,
kalazion,,filet troncom,,,filet,,,,noun,yes,,,,Tata Boga,filet yang dipotong bulat utuh,,,,,,,,Analitical,
kālena dhammasākacchā,,film teatrikal,,,film,,,,noun,yes,,,,,film yang didesain untuk diputar di gedung bioskop,,,,,,,,Analitical,
kalinjing,,form,,,,,,,noun,yes,,,,,→ formulir,,,,,,,,Cross-reference,
kalobe,,fosfen,,,,,,,noun,,,,,,"sensasi melihat cahaya karena rangsangan mekanis retina, seperti ketika mata terpejam atau adanya tekanan pada bola mata",,,,,,,,Analitical,
kambatu,,foto udara,,,foto,,,,noun,yes,,,,,"foto bagian permukaan bumi yang diambil dari udara, menggunakan kamera yang dipasang pada pesawat udara",,,,,,,,Analitical,
kanape,,fotografi digital,,,fotografi,,,,noun,yes,,,,,praktik fotografi yang mengambil gambar menggunakan kamera digital dan menyimpannya dalam bentuk digital,,,,,,,,Analitical,
kancing baju,,fotopsia,,,,,,,noun,,,,,Kedokteran dan Fisiologi,gangguan penglihatan yang disebabkan oleh kelainan pada mata atau otak,,,,,,,,Analitical,
kandang baterai,,fujinkai,,,,,,,noun,,,,Jepang,,organisasi wanita pada masa Jepang,,,,,,,,Analitical,
kanister,,gabus pucung,,,gabus (3),,,,noun,yes,,,,,"masakan berkuah khas Betawi, terbuat dari ikan gabus yang dimasak dengan pucung hingga kuahnya berwarna hitam",,,,,,,,Analitical,
Kanjuruhan,,gagampam,,,,,,,noun,,,,Banjar,,"penganan, dibuat dari singkong yang diparut halus, dicampur gula merah dan gula pasir, lalu dikukus",,,,,,,,Analitical,
kapanewon,,gagape,,,,,,,noun,,,,,,masakan yang terbuat dari ayam yang diungkep dengan santan dan parutan kelapa goreng,,,,,,,,Analitical,
kapeh,,gahgar,,,,,,,noun,,,,Sunda,,pohon kelapa yang sudah tidak berbuah,,,,,,,,Analitical,
kapibara,,gaki,,,,,,,numeral,,,,Tobelo,,seperempat belahan ikan,,"karena uangnya tidak cukup, ia hanya membeli -- tuna",,,,,,Analitical,
kapuan,,galapak,,,,,,,verb,,,,Sunda,,terbang ketakutan hingga mengenai barang-barang di sekitarnya pada saat akan ditangkap (tentang ayam dan sebagainya),,,,,,,,Analitical,
kara,,galaran,,,,,,,noun,,,,Aceh,,uang hasil menggadaikan sesuatu,,,,,,,,Analitical,
kartun politik,,gambit,,,,,,,verb,,,,,Olahraga,mengorbankan satu atau lebih pion sebagai bagian dari strategi untuk mendapatkan keuntungan dalam gerakan selanjutnya,,,,,,,,Analitical,
kasai,,ganace,,,,/ganacê/,,,noun,,,,,Tata Boga,"krim yang dibuat dari lelehan cokelat yang dicampur dengan krim dan mentega, digunakan sebagai pengisi atau penyalut kue",,,,,,,,Analitical,
kasbon,,gandum utuh,,,gandum,,,,noun,yes,,,,,gandum yang belum mengalami proses penggilingan atau pengolahan lebih lanjut,,,,,,,,Analitical,
kaseda,,gangguan obsesif kompulsif,,,"ganggu, gangguan",,,,noun,yes,,,,Psikologi,gangguan mental yang ditandai dengan penderita mengalami ketakutan yang tidak terkendali sehingga berperilaku kompulsif dan berulang kali melakukan tindakan tertentu secara tidak sadar,,,,,,,,Analitical,
kata dengung,,ganjil genap,,,ganjil (1),,,,noun,yes,,,,,"kebijakan pembatasan mobil yang dapat melewati suatu jalan pada jam tertentu berdasarkan tanda nomor pada pelat nomor dan tanggal, dilakukan untuk mengurangi kemacetan, kepadatan, dan polusi udara",,,,,,,,Analitical,
kaus wangki,,gari,yes,2,,,,,noun,,,,Jepang,,"acar jahe muda, biasa disajikan sebagai pelengkap hidangan susyi, sasyimi, dan sebagainya",,,,,,,,Analitical,
kebakaran jenggot,,garpu ikan,,,garpu,,,,noun,yes,,,,,garpu yang digunakan untuk menyantap hidangan ikan,,,,,,,,Analitical,
kecipul,,gatot,yes,2,,,,,verb,,acronym,yes,,,gagal total,,dia -- dalam lomba itu,,,,,,Abbreviation Expansion,
kecorong,,gaya coriolis,,,gaya (1),,,,noun,yes,,,,Fisika,gaya pada rotasi bumi yang membelokkan arah arus air laut,,,,,,,,Analitical,
kecuwis,,gedung parkir,,,gedung,,,,noun,yes,,,,,gedung khusus untuk parkir kendaraan sebagai pengganti tempat parkir di lapangan atau pinggir jalan,,,,,,,,Analitical,
kedang,,gejala sastra,,,gejala,,,,noun,yes,,,,Sastra,"isu-isu seperti pelarangan, pengadilan sastra, kata dan istilah khas yang menjadi perdebatan sastra",,,,,,,,Analitical,
kedemang,,gerapyak,,,,/gêrapyak/,,,noun,yes,,,,,→ grapyak,,,,,,,,Cross-reference,
kedokteran veteriner,,gerimis bubar,,,gerimis,,,,noun,yes,,,,,bioskop tanpa atap yang penontonnya bubar ketika hujan gerimis; misbar,,,,,,,,Analitical,Synonym
kekerasan seksual,,gibas,yes,2,,,,,verb,,,,Sunda,,gerakan tangan melintang di depan perut untuk menahan tendangan dalam pencak silat,,,,,,,,Analitical,
kelas embun,,gidau,,,,,,,verb,,,,Melayu Belitung,,menghalau dengan mengayunkan tangan atau benda lain,,"kalau ada ayam masuk rumah, -- saja",,,,,,Analitical,
kelengku,,gimana,,,,,,,pronoun,yes,,,,,→ bagaimana,,,,,,,,Cross-reference,
kembar buncing,,gisi,yes,2,,,,,noun,,,,Wolio,,"panah yang batangnya diikat tali, digunakan untuk menangkap ikan",,,,,,,,Analitical,
kemeja pantai,,glek,,,,/glêk/,,,noun,,,,,,"tiruan bunyi orang menelan air, ludah, dan sebagainya",,,,,,,,Analitical,
kemilat,,gogoli,,,,,,,verb,,,,Wolio,,mengencangkan simpul,,dia sedang -- tali jangkar di kayu,,,,,,Analitical,
Ken Arok,,granola,,,,,,,noun,,,,,,"campuran gandum gulung, tepung gandum utuh, kacang-kacangan, buah-buahan kering, minyak, dan bahan alami lain, lalu dipanggang, biasanya dimakan sebagai sereal sarapan atau camilan",,,,,,,,Analitical,
kendaraan berat,,guinea ekuatorial,,,,,,,noun,,,,,,"negara yang terletak di Afrika Barat, beribu kota Malabo",,,,,,,,Analitical,
kendaraan ringan,,guliran,,,gulir,,,,noun,,,,,,sesuatu yang digulirkan,,pernahkah Anda melihat ~ bola salju?,,,,,,Analitical,
kendaraan takbermotor,,gunseibu,,,,,,,noun,,,,Jepang,,keresidenan pada masa Jepang,,,,,,,,Analitical,
kerjasama,,habis,yes,2,,,,,noun,,,,,,batas tumbuhnya rambut di atas jidat,,,,,,"arang habis, besi binasa, habis beralur, maka beralu-alu, habis geli oleh gelitik, (habis bisa oleh biasa), habis kapak, berganti beliung, habis manis sepah dibuang, habis manis, sepah dibuang, habis manis, sepah dibuang, habis miang karena bergeser, habis pati, ampas dibuang, habis perkara, nasi sudah menjadi bubur, habis umpan, kerong tak dapat, ingat sebelum kena, berhemat sebelum habis, lagi ada jangan dimakan, sudah habis baru dimakan, memakan habis-habisan, menyuruh hilang-hilang, menyauk kering-kering, membeli habis-habis, menyuruk hilang-hilang, memakan habis-habis, minyak habis sambal tak enak, nasi habis, budi bersua, rumah terbakar, tikus habis ke luar, sendok berdengar-dengar, nasi habis budi dapat, telah habis, maka dimakan, tuba habis, ikan tak dapat, ucap habis, niat sampai, umpan habis, ikan tak kena",,Analitical,
Kertajaya,,habis pakai,,,habis (1),,,,adjective,yes,,,,,→ sekali pakai,,,,,,,,Cross-reference,
Kertanegara,,hadiah lawang,,,hadiah,,,,noun,yes,,,,,"hadiah yang diberikan pada suatu acara khusus dan setiap orang yang hadir memiliki kesempatan untuk menang, biasanya melalui undian",,,,,,,,Analitical,
khemaá¹,,haji furada,,,haji,,,,noun,yes,,,,,"ibadah haji yang dilakukan melalui program khusus pemerintah Arab Saudi, dikelola oleh agen perjalanan resmi (bukan pemerintah)",,,,,,,,Analitical,
khilafah,,hak digital,,,hak (1),,,,noun,yes,,,,,"hak untuk mengakses, membuat, memublikasikan, dan menyebarkan material di media elektronik atau media digital",,,,,,,,Analitical,
KIA,,hamin,,,,,,,noun,,,,Kei,,"umbi atau buah yang sudah sangat tua dan menumbuhkan tunas, biasanya dipisahkan untuk ditanam kembali, seperti pada kelapa atau keladi",,,,,,,,Analitical,
kitab terasul,,hari-h,,,,,,,noun,,,,,,"hari yang ditetapkan untuk melaksanakan sebuah acara atau kegiatan, berasal dari istilah D-day, yakni hari yang ditetapkan untuk meluncurkan operasi invasi Pasukan Sekutu ke Prancis dalam Perang Dunia II pada 6 Juni 1944",,banyak hal yang harus kami persiapkan menjelang --,,,,,,Analitical,
KKN,,hear,,,,,,,verb,,,,Sunda,,membalikkan padi yang sedang dijemur supaya kering merata,,,,,,,,Analitical,
klasiring,,hematolog,,,,,,,noun,,,,,Kedokteran dan Fisiologi,ahli hematologi,,,,,,,,Synonym,
klatan,,hemian,,,,,,,noun,,,,Kei,,ekor pari,,,,,,,,Analitical,
kluwer,,hendaya,,,,/hêndaya/,,,noun,,,,,Kedokteran dan Fisiologi,gangguan atau kekurangan secara fisik maupun mental,,,,,,,,Analitical,
knalpot brong,,hepatoblastoma,,,,,,,noun,,,,,Kedokteran dan Fisiologi,"tumor ganas hati terutama pada bayi dan anak kecil, terdiri atas sel yang menyerupai sel hati embrionik",,,,,,,,Analitical,
koasuransi,,hermes,,,,,,,noun,,,,,,"dewa pengantar pesan, dewa penunjuk jalan, dewa pelindung para petualang, dan dewa penuntun arwah dalam mitologi Yunani",,,,,,,,Analitical,
kode pos,,hidangan sepinggan,,,"hidang, hidangan",,,,noun,yes,,,,,"hidangan satu porsi lauk lengkap yang terdiri atas sayuran, karbohidrat, dan daging, disajikan dengan cepat",,,,,,,,Analitical,
kodu-kodu,,hiperdefekasi,,,,/hipêrdefekasi/,,,noun,,,,,Kedokteran dan Fisiologi,kondisi buang air besar berlebih,,,,,,,,Analitical,
kohando,,hiperfagi,,,,/hipêrfagi/,,,noun,,,,,Kedokteran dan Fisiologi,kondisi nafsu makan berlebih,,,,,,,,Analitical,
kolab,,hipernasionalisme,,,,/hipêrnasionalismê/,,,noun,,,,,,nasionalisme ekstrem yang memercayai negara sendiri lebih baik daripada negara lain,,,,,,,,Analitical,
kolam pusaran,,hipokinetik,,,,,,,noun,,,,,Kedokteran dan Fisiologi,penyakit akibat badan kurang bergerak,,,,,,,,Analitical,
kolektibilitas,,histeroskopi,,,,,,,noun,,,,,Kedokteran dan Fisiologi,prosedur endoskopi untuk memeriksa rahim,,,,,,,,Analitical,
kolrabi,,hki,,,,,,,noun,,abbreviation,,,,HAKI,,,,,,,,Synonym,
komputer tablet,,hoho,,,,,,,noun,,,,Kei,,serampang yang mata tombaknya bergerigi,,,,,,,,Analitical,
komunitas bahasa,,hoiltom,,,,,,,verb,,,,Kei,,menceritakan silsilah keluarga kepada anak cucu,,,,,,,,Analitical,
konci,,holtikultura,,,,,,,noun,yes,,,,,→ hortikultura,,,,,,,,Cross-reference,
konsom,,hortikultur,,,,,,,noun,yes,,,,,→ hortikultura,,,,,,,,Cross-reference,
kopi saring,,hotel suit,,,hotel,,,,noun,yes,,,,Perhotelan,hotel yang seluruh kamarnya berjenis suit,,,,,,,,Analitical,
Kota Baja,,hts,,,,,,,noun,,abbreviation,yes,,,hubungan tanpa status,,,,,,,,Abbreviation Expansion,
Kota Bawang,,huan,,,,,,,noun,,,,Karey,,"alat untuk mencungkil kulit kerang dan mengupas buah kelapa, terbuat dari kayu yang ujungnya diruncingkan",,,,,,,,Analitical,
Kota Intan,,hudis,,,,,,,noun,,acronym,,,,hukuman disiplin,,,,,,,,Abbreviation Expansion,
Kota Kretek,,"hujan keris lembing di negeri kita, hujan emas perak di negeri orang, baik jua di negeri kita",,,hujan,,,,noun,yes,,,,,sebaik-baik negeri orang tidak sebaik negeri sendiri,,,,,,,,Other,
Kota Mangga,,hulango,,,,,,,noun,,,,Gorontalo,,bidan kampung yang ditunjuk sebagai pelaksana acara tujuh bulanan,,,,,,,,Analitical,
Kota Proklamator,,hunta,,,,,,,noun,,,,Gorontalo,,buah tumbuhan teratai,,,,,,,,Analitical,
Kota Seribu Sungai,,huto,,,,,,,noun,,,,Gorontalo,,"gelang yang dipakaikan di pergelangan kaki anak-anak untuk menolak bala, terbuat dari benang berwarna hitam",,,,,,,,Analitical,
Kota Telur Asin,,huwil,,,,,,,noun,,,,Kei,,pohon kelapa yang sudah besar,,,,,,,,Analitical,
Kota Wali,,ibu susu,,,ibu,,,,noun,yes,,,,,ibu yang menyusui dan merawat bayi yang bukan anak kandungnya; ibu susuan,,,,,,,,Analitical,Synonym
kotabi,,ibu susuan,,,ibu,,,,noun,yes,,,,,ibu susu,,,,,,,,Synonym,
Kreol Haiti,,ikal mursal,,,ikal,,,,noun,yes,,,,,"pola atau ragam hias berbentuk sulur daun yang melingkar, sambung menyambung, dan terbalik",,,,,,,,Analitical,
krim dingin,,ikan jenggi,,,ikan,,,,noun,yes,,,Melayu Jambi,,ikan laut bermata besar yang dipercaya sebagai wujud makhluk halus,,,,,,,,Analitical,
kriptologi,,ikhtilat,,,,,,,noun,,,,Arab,,perbauran antara laki-laki dan perempuan,,,,,,,,Analitical,
kromatik,,iklan dagang,,,iklan,,,,noun,yes,,,,,"iklan yang tidak ditujukan langsung kepada calon pembeli, tetapi kepada calon penjual",,,,,,,,Analitical,
krone,,ikn,,,,,,,noun,,abbreviation,,,,ibu kota negara,,,,,,,,Abbreviation Expansion,
kuas alis,,ikterius,,,,,,,noun,,,,,Kedokteran dan Fisiologi,penyakit kuning akibat kelebihan bilirubin,,,,,,,,Analitical,
kuasisewa,,ikur-ikur,,,,,,,noun,yes,,,,,jawawut,〔Setaria italica〕,,,,,,,Synonym,
kuda pelana,,imatuak,,,,,,,noun,,,,Kur,,kapal yang bocor di tengah laut,,,,,,,,Analitical,
Kudungga,,incipu,,,,,,,noun,,,,Awyu,,arang hitam dari butiran tungku atau jelaga yang dipakai untuk melukis badan penari,,,,,,,,Analitical,
KUE,,indeks prestasi kumulatif,,,indeks,,,,noun,yes,,,,,angka yang menunjukkan prestasi belajar mahasiswa dari seluruh mata kuliah yang ditempuh sejak semester pertama sampai akhir,,,,,,,,Analitical,
kue balok,,industri pionir,,,industri,,,,noun,yes,,,,,industri pelopor,,,,,,,,Synonym,
kue mangkok,,infal,,,,,,,noun,,,,,,pengganti,,,,,,,,Synonym,
kue satu,,infinit,,,,,,,adjective,,,,,,abadi; kekal,,,,,,,,Synonym,
kufi,,infinit,,,,,,,adjective,,,,,Matematika,tidak memiliki batas yang ditentukan; tidak terhingga,,,,,,,,Antonym,
kuker,,ingatan palsu kolektif,,,"ingat, ingatan",,,,noun,yes,,,,,efek Mandela,,,,,,,,Analitical,
kulopu,,insolvensi,,,,,,,noun,,,,,Hukum,keadaan tidak mampu membayar utang,,perusahaan tambang tersebut berada dalam keadaan -- karena jumlah utangnya lebih besar daripada jumlah aset,,,,,,Analitical,
kuna,,inspektur tambang,,,inspektur,,,,noun,yes,,,,,"jabatan fungsional yang mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang untuk melaksanakan pengawasan atas pelaksanaan kegiatan usaha pertambangan",,,,,,,,Analitical,
kunefe,,interpretivisme,,,,/intêrprètivismê/,,,noun,,,,,Antropologi,pendekatan penelitian ilmu sosial yang menekankan pentingnya sudut pandang responden daripada peneliti,,,,,,,,Analitical,
kuning pucat,,ip,yes,2,,,,,noun,,abbreviation,,,,indeks prestasi,,,,,,,,Abbreviation Expansion,
kunting,,ipk,,,,,,,noun,,abbreviation,,,,indeks prestasi kumulatif,,,,,,,,Abbreviation Expansion,
kupang jawa,,iredentisme,,,,/iredentismê/,,,noun,,,,,,"prinsip, kebijakan, dan praktik politik yang mengakui atau memasukkan wilayah negara lain karena kesamaan etnis, budaya, dan sejarah",,,,,,,,Analitical,
kurleb,,jakang,,,,,,,noun,yes,,,,,"perdu yang tingginya mencapai 2 m, bercabang menyerupai pita memanjang dan beruas-ruas, bentuk daun memanjang, bunga berukuran kecil berwarna putih dan berkelompok, buah bulat lonjong berwarna merah, digunakan sebagai tanaman hias dan obat memar",〔Muehlenbeckia platyclada〕,,,,,,,Analitical,Encyclopedic
kursut,,jakuzi,,,,,,,noun,,,,,Perhotelan,bak rendam dengan jet yang mengedarkan dan menyemburkan air terus-menerus,,,,,,,,Analitical,
kutek,,jalo,,,,,,,noun,,,,Melayu Jambi,,"perahu yang berukuran panjang 7 m dan lebar 1,5 m,  menggunakan layar dan dua dayung bersilang sebagai penggerak",,,,,,,,Analitical,
kuti,,jalur rempah,,,jalur (1),,,,noun,yes,,,,,jalur laut yang menghubungkan dunia Barat dan Timur terutama untuk perdagangan rempah,,,,,,,,Analitical,
